###### Running part 1: SGD with batch size 32 ######
Epoch:  1 , loss =  0.5682076811790466 , accuracy =  0.8182500004768372
Epoch:  2 , loss =  0.2888515591621399 , accuracy =  0.9112833142280579
Epoch:  3 , loss =  0.22527168691158295 , accuracy =  0.930400013923645
Epoch:  4 , loss =  0.19458428025245667 , accuracy =  0.9399333596229553
Epoch:  5 , loss =  0.17121343314647675 , accuracy =  0.9472833275794983
Epoch:  6 , loss =  0.15991663932800293 , accuracy =  0.9500166773796082
Epoch:  7 , loss =  0.14746221899986267 , accuracy =  0.9545333385467529
Epoch:  8 , loss =  0.14007225632667542 , accuracy =  0.9569000005722046
Epoch:  9 , loss =  0.1312740296125412 , accuracy =  0.9590333104133606
Epoch:  10 , loss =  0.12437658756971359 , accuracy =  0.9614333510398865
Epoch:  11 , loss =  0.12117230892181396 , accuracy =  0.9628666639328003
Epoch:  12 , loss =  0.11595924943685532 , accuracy =  0.9643666744232178
Epoch:  13 , loss =  0.11081690341234207 , accuracy =  0.9653000235557556
Epoch:  14 , loss =  0.10801741480827332 , accuracy =  0.9671499729156494
Epoch:  15 , loss =  0.10477583855390549 , accuracy =  0.9670666456222534
Epoch:  16 , loss =  0.10143990814685822 , accuracy =  0.9691500067710876
Epoch:  17 , loss =  0.09884315729141235 , accuracy =  0.9696000218391418
Epoch:  18 , loss =  0.0942196175456047 , accuracy =  0.9705333113670349
Epoch:  19 , loss =  0.09588362276554108 , accuracy =  0.9705333113670349
Epoch:  20 , loss =  0.08948592096567154 , accuracy =  0.9717833399772644
Epoch:  21 , loss =  0.09029644727706909 , accuracy =  0.9719499945640564
Epoch:  22 , loss =  0.08876918256282806 , accuracy =  0.9729833602905273
Epoch:  23 , loss =  0.08373276889324188 , accuracy =  0.9736666679382324
Epoch:  24 , loss =  0.0839889794588089 , accuracy =  0.973800003528595
Epoch:  25 , loss =  0.08343170583248138 , accuracy =  0.9741166830062866
Epoch:  26 , loss =  0.07866982370615005 , accuracy =  0.9753833413124084
Epoch:  27 , loss =  0.07898558676242828 , accuracy =  0.9753999710083008
Epoch:  28 , loss =  0.07830961048603058 , accuracy =  0.9756500124931335
Epoch:  29 , loss =  0.07921059429645538 , accuracy =  0.9748499989509583
Epoch:  30 , loss =  0.07450788468122482 , accuracy =  0.9769166707992554
Epoch:  31 , loss =  0.0728064477443695 , accuracy =  0.9773333072662354
Epoch:  32 , loss =  0.07475080341100693 , accuracy =  0.9768666625022888
Epoch:  33 , loss =  0.0719955787062645 , accuracy =  0.977066695690155
Epoch:  34 , loss =  0.07088860869407654 , accuracy =  0.9778500199317932
Epoch:  35 , loss =  0.06964924186468124 , accuracy =  0.9779166579246521
Epoch:  36 , loss =  0.06919311732053757 , accuracy =  0.9777666926383972
Epoch:  37 , loss =  0.06868591904640198 , accuracy =  0.9784333109855652
Epoch:  38 , loss =  0.066066212952137 , accuracy =  0.9789666533470154
Epoch:  39 , loss =  0.06705635040998459 , accuracy =  0.9783166646957397
Epoch:  40 , loss =  0.06732799112796783 , accuracy =  0.9780833125114441
Epoch:  41 , loss =  0.06316059827804565 , accuracy =  0.9796333312988281
Epoch:  42 , loss =  0.06575183570384979 , accuracy =  0.9789000153541565
Epoch:  43 , loss =  0.06236455962061882 , accuracy =  0.9799333214759827
Epoch:  44 , loss =  0.05927298963069916 , accuracy =  0.9802166819572449
Epoch:  45 , loss =  0.06250344961881638 , accuracy =  0.9805333614349365
Epoch:  46 , loss =  0.059358540922403336 , accuracy =  0.9809666872024536
Epoch:  47 , loss =  0.06008158251643181 , accuracy =  0.9804333448410034
test loss =  0.032648585736751556 , test accuracy =  0.989300012588501
###### RUN NUMBER  0  ######
###### Running part 2: SGD with batch size  32  ######
Epoch:  1 , loss =  0.5344163179397583 , accuracy =  0.8281499743461609
Epoch:  2 , loss =  0.2694893181324005 , accuracy =  0.9174333214759827
Epoch:  3 , loss =  0.2177632451057434 , accuracy =  0.933899998664856
Epoch:  4 , loss =  0.18710385262966156 , accuracy =  0.9429833292961121
Epoch:  5 , loss =  0.16487225890159607 , accuracy =  0.9501000046730042
Epoch:  6 , loss =  0.1557261347770691 , accuracy =  0.9523333311080933
Epoch:  7 , loss =  0.14588019251823425 , accuracy =  0.9561833143234253
Epoch:  8 , loss =  0.1355600208044052 , accuracy =  0.9587833285331726
Epoch:  9 , loss =  0.12991246581077576 , accuracy =  0.9605000019073486
Epoch:  10 , loss =  0.12065551429986954 , accuracy =  0.9631999731063843
Epoch:  11 , loss =  0.11950306594371796 , accuracy =  0.9631333351135254
Epoch:  12 , loss =  0.11293766647577286 , accuracy =  0.9647666811943054
Epoch:  13 , loss =  0.10665330290794373 , accuracy =  0.9668999910354614
Epoch:  14 , loss =  0.10438795387744904 , accuracy =  0.9675499796867371
Epoch:  15 , loss =  0.09946198016405106 , accuracy =  0.968500018119812
Epoch:  16 , loss =  0.0986543595790863 , accuracy =  0.9692500233650208
Epoch:  17 , loss =  0.09652778506278992 , accuracy =  0.9703500270843506
Epoch:  18 , loss =  0.09357742220163345 , accuracy =  0.9713166952133179
Epoch:  19 , loss =  0.09170138835906982 , accuracy =  0.9716333150863647
Epoch:  20 , loss =  0.0897488072514534 , accuracy =  0.9723666906356812
Epoch:  21 , loss =  0.08673379570245743 , accuracy =  0.9727833271026611
Epoch:  22 , loss =  0.08594194054603577 , accuracy =  0.973800003528595
Epoch:  23 , loss =  0.0822434052824974 , accuracy =  0.9739000201225281
Epoch:  24 , loss =  0.08259505778551102 , accuracy =  0.9740833044052124
Epoch:  25 , loss =  0.07946740835905075 , accuracy =  0.9758999943733215
Epoch:  26 , loss =  0.07752971351146698 , accuracy =  0.9751999974250793
Epoch:  27 , loss =  0.07894381880760193 , accuracy =  0.9754499793052673
Epoch:  28 , loss =  0.07513778656721115 , accuracy =  0.9761666655540466
Epoch:  29 , loss =  0.07535760849714279 , accuracy =  0.9761833548545837
Epoch:  30 , loss =  0.07515479624271393 , accuracy =  0.9766833186149597
Epoch:  31 , loss =  0.07376468926668167 , accuracy =  0.9770166873931885
Epoch:  32 , loss =  0.07136429101228714 , accuracy =  0.9774666428565979
Epoch:  33 , loss =  0.07150624692440033 , accuracy =  0.9775500297546387
Epoch:  34 , loss =  0.07014898955821991 , accuracy =  0.9783833622932434
Epoch:  35 , loss =  0.06800077855587006 , accuracy =  0.9784833192825317
Epoch:  36 , loss =  0.06718339025974274 , accuracy =  0.9789166450500488
Epoch:  37 , loss =  0.06596667319536209 , accuracy =  0.9792333245277405
Epoch:  38 , loss =  0.06672095507383347 , accuracy =  0.979033350944519
Epoch:  39 , loss =  0.06464827060699463 , accuracy =  0.9796833395957947
Epoch:  40 , loss =  0.06482064723968506 , accuracy =  0.9789833426475525
Epoch:  41 , loss =  0.06309573352336884 , accuracy =  0.9800666570663452
Epoch:  42 , loss =  0.06247318908572197 , accuracy =  0.9808833599090576
Epoch:  43 , loss =  0.0631173849105835 , accuracy =  0.9795166850090027
Epoch:  44 , loss =  0.061525970697402954 , accuracy =  0.9797666668891907
Epoch:  45 , loss =  0.06175189092755318 , accuracy =  0.9805999994277954
Epoch:  46 , loss =  0.06049194559454918 , accuracy =  0.9807999730110168
Epoch:  47 , loss =  0.05895090848207474 , accuracy =  0.9811000227928162
Epoch:  48 , loss =  0.05729693919420242 , accuracy =  0.9814833402633667
Epoch:  49 , loss =  0.057463183999061584 , accuracy =  0.9814500212669373
Epoch:  50 , loss =  0.05886898189783096 , accuracy =  0.9815999865531921
Epoch:  51 , loss =  0.05850799381732941 , accuracy =  0.9815166592597961
SGD: run no. =  0 , batch size =  32  convergence time =  165.43344235420227
SGD: run no. =  0 , batch size =  32 , test loss =  0.03046930767595768 , test accuracy =  0.9891999959945679
###### Running part 2: ADAGRAD with batch size  32  ######
